id,name,signature
Q4399127,Karapet by Ruben Rubinyan,Karapet Rubinyan Signature.png
Q4415875,Ekaterina Semenova,Ekaterina Semenova signature.jpg
Q4444263,Amand Struve,Amand Struve Signature 1870.png
Q4494045,Maria Feodorova,Maria Feodorova.jpg
Q4503799,Serhii Tselovalnyk,Serhii Tselovalnyk Signature 2014.png
Q4666597,Abel Maldonado,Abel Maldonado Signature.jpg
Q4678535,Adalbert Krieger Vasena,Adalbert Krieger Vasena Firma.jpg
Q4709858,Albert C. Houghton,Albert Charles Houghton signature.jpg
Q4713883,Aldo Ferrer,AldoFerrerFirma.jpg
Q4717907,Alex Tremulis,Alex Tremulis signature.jpg
Q4723267,Alfred Parsons,Signature of Alfred Parsons.jpg
Q4751265,Anand Narain Mulla,Anand Narain Mulla Autograph.jpg
Q4756109,Andres Castillo,PH-137d.jpg
Q4757224,Andrew Hamilton,Appletons' Hamilton Andrew signature.jpg
Q4757927,Andrew McConnell January Cochran,Andrew-Cochran-sig.jpg
Q4768453,Anne Holton,Anne Holton signature.png
Q4768884,Anne Whateley,Whateley note.JPG
Q4772558,Anthony G. Brown,Anthony G Brown Signature.png
Q4775434,Antoine Blanc,Signature of Archbishop Antoine Blanc.png
Q4798613,Arthur Ernest Morgan,Arthur Ernest Morgan signature.jpg
Q4821184,Augustine Herman,Appletons' Herrman Augustine signature.png
Q4821292,Augusto Hughes,Firma Augusto Hughes.jpg
Q4877157,Beatrice Harraden,Beatrice Harraden sinature.jpg
Q4888256,Benjamin Bates,Benjamin Bates signature founder of Bates COllege.jpg
Q4888954,Benjamin Le Fevre,Benjamin Le Fevre signature.jpg
Q4889852,Benning Wentworth,Benning Wentworth signature.PNG
Q4890079,Beno Blachut,Beno Blachut autograph.jpg
Q4904809,Joseph Reed Ingersoll,Appletons' Ingersoll Jared - Joseph Reed signature.png
Q4955994,Brajanath Ratha,Signature Brajanath Ratha or.png
Q4964888,Brian O'Brien,Brian o Brien signature.PNG
Q4965144,Mathilda Malling,Mathilda Mallings signatur.png
Q5019310,Caleb Stetson,Caleb Stetson signature.png
Q5040003,Carl Crim,Carl Crim Signature v2.jpg
Q5044537,Carol Ryrie Brink,Carol Ryrie Brink sig.jpg
Q5081301,Charles O'Conor,"Appletons' O'Conor, Thomas - Charles signature.png"
Q5082601,Charles Sprague,Appletons' Sprague Charles signature.png
Q5109810,Christian L. Poorman,Christian L. Poorman signature.JPG
Q5126954,Karel Augusta,Augusta autograph.jpg
Q5195845,Curtis P. Iaukea,Iaukea 1896 signature.svg
Q5210397,Dale D. Myers,Dale Myers signature.JPG
Q5217018,Daniel Duncan,Daniel Duncan (Ohio politician) signature.jpg
Q5230867,David Aronberg,Aronberg sig.jpg
Q5233191,David E. Lilienthal,David E Lilienthal signature.jpg
Q5236615,David Lin,David Lin Yung-lo Signature.png
Q5238308,David P. Flores,The Signature of David P. Flores 2011.png
Q5238807,David R. Craig,DRC Signature.png
Q5241190,David Wilmot,David Wilmot signature.png
Q5266862,Devendra Prasad Gupta,Devendra Prasad Gupta signature.gif
Q5273032,Dick Hubbard,Dick Hubbard signature.svg
Q5316205,Durandus of Troarn,Sceau de Durand de Troarn.jpg
Q5331645,Ebenezer B. Finley,Ebenezer B. Finley signature.jpg
Q5339452,Edmund Fanning,Edmund Fanning (signature).jpg
Q5342169,Edward C. Stearns,Stearns-edward-c sig.gif
Q5342728,Edward Echols,Edward Echols (signature).png
Q5345285,Edward Seymour,Edward-Seymore.jpg
Q5360288,Satoru Kikugawa,Kikugawa signature.gif
Q5363450,Elizabeth Rudel Smith,Elizabeth Rudel Smith sig.jpg
Q5366478,Elmer B. Staats,Elmer B. Staats signature.jpg
Q5379329,Enoch Steen,"Enoch Steen, signature, 13 Dec 1827.jpg"
